ID,repository,directory,solution,language,name,description,runtime,testing,tests,is_aws,is_azure,is_gcp,provider_set
468010773/tests/integration/provider_secret_config/Pulumi.yaml,468010773,468010773/tests/integration/provider_secret_config,Pulumi,typescript,provider-secret-config,A minimal TypeScript Pulumi program,nodejs,,,0,0,0,
468010773/tests/integration/partial_state/step1/Pulumi.yaml,468010773,468010773/tests/integration/partial_state/step1,Pulumi,typescript,partial_state,A program that tests partial provider failure.,nodejs,,,0,0,0,
468010773/tests/integration/transformations/dotnet/simple/Pulumi.yaml,468010773,468010773/tests/integration/transformations/dotnet/simple,Pulumi,csharp,transformations_dotnet,A simple .NET program that uses transformations.,dotnet,,,0,0,0,
468010773/tests/integration/transformations/python/simple/Pulumi.yaml,468010773,468010773/tests/integration/transformations/python/simple,Pulumi,python,aliases_retype_component,A program that replaces a resource with a new name and alias.,python,,,0,0,0,
468010773/tests/integration/transformations/nodejs/simple/Pulumi.yaml,468010773,468010773/tests/integration/transformations/nodejs/simple,Pulumi,typescript,transformations_simple,,nodejs,,,0,0,0,
468010773/tests/integration/rotate_passphrase/Pulumi.yaml,468010773,468010773/tests/integration/rotate_passphrase,Pulumi,go,rotate_passphrase,An empty Go Pulumi program to test passphrase rotation.,go,,,0,0,0,
468010773/tests/integration/project_main_parent/foo/bar/Pulumi.yaml,468010773,468010773/tests/integration/project_main_parent/foo,Pulumi,typescript,project_main_parent,A program with an entry point in a parent folder,nodejs,,,0,0,0,
468010773/tests/integration/config_capture_e2e/nodejs/Pulumi.yaml,468010773,468010773/tests/integration/config_capture_e2e/nodejs,Pulumi,typescript,config_capture_e2e,Validates the interaction between config and capturing,nodejs,,,0,0,0,
468010773/tests/integration/stack_parenting/Pulumi.yaml,468010773,468010773/tests/integration/stack_parenting,Pulumi,typescript,stack_outputs,A program that exports some outputs.,nodejs,,,0,0,0,
468010773/tests/integration/stack_reference_secrets/dotnet/step1/Pulumi.yaml,468010773,468010773/tests/integration/stack_reference_secrets/dotnet/step1,Pulumi,csharp,stack_reference_secrets_dotnet,A simple .NET program that has a stack reference.,dotnet,,,0,0,0,
